id	nombre_corto	nombre_largo	topic_name
1	Farmacias	Creación de Farmacias Populares	Salud
2	Marihuana	Legalización de la Marihuana	Salud
3	Cárcel Cohecho	Cárcel Efectiva para Soborno y Cohecho	Política Criminal
4	Retiro AFP	Retiro Anticipado Fondo de Pensiones	Pensiones
5	Más Metro	Crear Nuevas Líneas de Metro	Vivienda y Transporte
6	Agua	Desprivatización del Agua	Economía
7	Sename	Reforma Sename	Política social y ciudadanía
8	Narcotráfico	Lucha contra el Narcotráfico	Política Criminal
9	Termoeléctricas	Adelantar Cierre Termoeléctricas	Medio Ambiente
10	Voto Obligatorio	Voto Obligatorio	Democracia
11	Educación RRSS	Educación sobre uso de Redes Sociales	Educación
12	Zonas de Sacrificio	Regulación y Fiscalización de Empresas en Zonas de Sacrificio	Medio Ambiente
13	Impuesto al Carbono	Aumento de Impuesto al Carbono	Medio Ambiente
14	Subsidio Luz	Subsidio al precio de la electricidad	Economía
15	Subsidio Agua	Subsidio al precio del agua	Economía
16	Bibliotecas	Modernización Bibliotecas	Educación
17	Salario Profesores	Aumento Salario Profesores	Educación
18	IVA medicamentos	Reducción IVA a los Medicamentos	Política Tributaria
19	IVA libros	Reducción IVA a los libros	Política Tributaria
20	Notarios	Reforma o fin de sistema de Notarios	Modernización del Estado
21	Dieta Parlamentaria	Reducción Dieta Parlamentaria	Modernización del Estado
22	Terrenos Fronterizos	Prohibición Compra de Terrenos Fronterizos a Extranjeros	Modernización del Estado
23	Nueva Constitución	Nueva Constitución para Chile	Modernización del Estado
24	Subsidio Vivienda	Subsidio Vivienda	Vivienda y Transporte
25	Ciencia y Tecnología	Aumentar Inversión en Ciencia y Tecnología a 1% del PIB	Educación
26	Camara Única	Reducción del Parlamento a una Camara Única	Reforma Congreso
27	Armas de Fuego	Restricción Venta y Uso de Armas de Fuego	Política Criminal
28	Protección Consumidor	Aumentar la Protección del Consumidor	Economía
29	Matrimonio Igualitario	Matrimonio Igualitario	Política Social y Ciudadanía
30	Programas Intervención	Programas de Intervención para Niños y Jóvenes de Alto Riesgo	Política Social y Ciudadanía
31	Fuerzas Armadas	Reforma Fuerzas Armadas	Modernización del Estado
32	Cárcel Colusión	Cárcel efectiva para Delitos de Colusión	Política Criminal
33	Cárcel Impuestos	Cárcel efectiva para Delitos Tributarios (evasión de impuestos)	Política Criminal
34	Reducción Parlamento	Reducción Número de Parlamentarios	Reforma Congreso
35	Impuestos a vicios	Aumentar Impuesto al Alcohol, Tabaco, y Comida Chatarra	Política Tributaria
36	Información Personal	Resguardar y Proteger Información Personal	Política Social y Ciudadanía
37	Asamblea Constituyente	Asamblea Constituyente	Modernización del Estado
38	Custodia Compartida	Custodia compartida de hijos de padres separados	Modernización del Estado
39	Adulto Mayor	Red de Cuidado Adulto Mayor	Salud
40	Pueblos Originarios	Reivindicación y Apoyo de Pueblos Originarios	Modernización del Estado
41	Litio Estatal	Estatización del Litio	Economía
42	Aporte Empleador a AFP	Aporte del Empleador a Fondo de Pensiones	Pensiones
43	Glaciares	Inviolabilidad de Glaciares	Medio Ambiente
44	Bicicletas	Inversión infrastructura cicloviaria	Vivienda y Transporte
45	Contribuciones	Reducción Contribuciones de Adultos Mayores Vulnerables	Política Tributaria
46	Transporte Tercera Edad	Transporte Público Gratuito para Ciudadanos de la Tercera Edad	Vivienda y Transporte
47	Bilingüe	Promover Educación Bilingüe (Inglés)	Educación
48	Ficha Médica Digital	Establecer Ficha Médica Digital Universal	Salud
49	Venta de Alcohol	Restringir Venta de Alcohol en Delivery, Supermercados, o por Horario	Salud
50	Cuoteo Diplomático	Eliminar Cuoteo Político en Posiciones Diplomáticas	Modernización del Estado
51	Reelección de Alcaldes	Limitar Reelección de Alcaldes, Parlamentarios y Presidentes	Democracia
52	Edad de Jubilación	Aumento Edad de Jubilación	Pensiones
53	Sistema Salud para Electos	Uso Obligatorio de Sistema de Salud Público para Funcionarios Electos	Modernización del Estado
54	Transbank	Fin al Monopolio de Transbank	Economía
55	Pensión Mínima	Pensión Mínima Igual o Mayor al Sueldo Mínimo	Pensiones
56	Seguro Universal	Seguro Universal de Salud	Salud
57	Derechos Humanos	Investigación Judicial de Violaciones Recientes a los Derechos Humanos	Política Criminal
58	Retiro FFAA	Retiro de Fuerzas Armadas	Seguridad
59	Toque de Queda	Fin de Toque de Queda	Seguridad
60	Educación Técnico Profesional	Mejorar Educación Técnico Profesional	Educación
61	Estructura Productiva	Diversificar la Economía	Economía
62	Aumento de Médicos	Aumento de Cupos en Especialidades Médicas	Salud
63	Sala Cuna	Acceso Universal a Sala Cuna	Educación
64	Enfermedades Catastróficas	Creación del Seguro de Enfermedades Catastróficas	Salud
65	Fonasa Farmacia	Ampliación Convenio Fonasa con Farmacias	Salud
66	Elección Parlamentarios	Limitar la Reeleción de Parlamentarios y Parlamentarias	Democracia
67	Participación Directa	Aumentar Instancias de Participación Ciudadana Directa	Democracia
68	Fondo Común Municipal	Fortalecimiento del Fondo Común Municipal	Modernización del Estado
